Timon_T,Timon_B,Timon_D,CT_T,CT_B,Target_Amplitude,CT_Amplitude
0.870966622606545,0.129033377393455,0.0877528658015605,48.8857938718663,51.1142061281337,3.41224713419844,3.29218305348012
0.63372090020977,0.36627909979023,0.0222191806205497,49.1923641703377,50.8076358296623,3.47778081937945,3.29177932626606
0.478412219814169,0.521587780185831,0.131441492227776,48.567335243553,51.432664756447,3.36855850777222,3.2625
0.474308383025891,0.525691616974109,0.536810797222428,51.9900497512438,48.0099502487562,2.96318920277757,2.5028051812833
0.704476223496458,0.295523776503542,0.275920615689132,48.6280487804878,51.3719512195122,3.22407938431087,3.15671336487081
0.352937618157083,0.647062381842917,0.0451737584545957,47.4358974358974,52.5641025641026,3.4548262415454,3.45329495043457
0.175210699486466,0.824789300513534,0.0225788518261562,43.2624113475177,56.7375886524823,3.47742114817384,2.57492126454422
0.0989911346405991,0.901008865359401,0.00861937813574219,46.7501957713391,53.2498042286609,3.49138062186426,3.48975052301211
0.256037923662763,0.743962076337237,0.0142975727453104,46.9565217391304,53.0434782608696,3.48570242725469,3.4757525019767
0.116680388937243,0.883319611062757,0.0126466280772023,43.1034482758621,56.8965517241379,3.4873533719228,2.57726349525592
0.378874163487348,0.621125836512652,0.022999170069321,47.3221422861711,52.6778577138289,3.47700082993068,3.473883474278
0.474411548470717,0.525588451529283,0.0182115582134713,49.5035460992908,50.4964539007092,3.48178844178653,3.29105152943987
0.513136413970254,0.486863586029746,0.0211807847925247,48.3211678832117,51.6788321167883,3.47881921520748,3.30982108152282
0.667332768945009,0.332667231054991,0.0708874510659231,48.4992101105845,51.5007898894155,3.42911254893408,3.26248975642196
0.697001762732659,0.302998237267341,0.0573725206458195,50.2170767004341,49.7829232995658,3.44262747935418,3.27458210070308
0.662964507571696,0.337035492428304,0.0652319038248706,48.9570552147239,51.0429447852761,3.43476809617513,3.34914554475404
0.643320910240432,0.356679089759568,0.0550881314233824,48.567335243553,51.432664756447,3.44491186857662,3.30012949447258
0.714149442726146,0.285850557273854,0.271063905982261,48.6443381180223,51.3556618819777,3.22893609401774,3.19210069198334
0.845820023615195,0.154179976384805,0.836471079430239,49.0706319702602,50.9293680297398,2.66352892056976,2.37024632922154
0.926913084450892,0.0730869155491077,0.922980551811793,49.063670411985,50.936329588015,2.57701944818821,2.3956129712622
0.622138714620227,0.377861285379773,0.735422665347988,47.7611940298507,52.2388059701493,2.76457733465201,2.31002988855326
0.752508632174755,0.247491367825245,0.751177989388444,47.5155279503106,52.4844720496894,2.74882201061156,2.32210870773196
0.815849768108412,0.184150231891588,0.70447217240227,50.635593220339,49.364406779661,2.79552782759773,2.90849349546701
0.640390724925817,0.359609275074184,0.214640113918822,48.4848484848485,51.5151515151515,3.28535988608118,3.21312304086813
0.633182820253612,0.366817179746388,0.446619988865522,48.731884057971,51.268115942029,3.05338001113448,2.93891227420678
0.466943538239999,0.533056461760001,0.384308010118482,46.8267581475129,53.1732418524871,3.11569198988152,3.00422053444921
0.642895448175613,0.357104551824387,0.482719686637274,49.2307692307692,50.7692307692308,3.01728031336273,2.58330931574985
0.325101531725585,0.674898468274415,0.0174404239797933,47.3809523809524,52.6190476190476,3.48255957602021,3.47829807339977
0.159702540974346,0.840297459025654,0.0182409477752164,46.608832807571,53.391167192429,3.48175905222478,3.46454699998941
0.139423830382189,0.860576169617811,0.0236829169002407,46.608832807571,53.391167192429,3.47631708309976,3.46618447324389
